Contig,Region,BGC_ID,Similarity,pathway,reactions,products
contig_1,Region 2,BGC0001962.3,0.27,[],[],[]
contig_1,Region 2,BGC0000188.5,0.24,['00260'],"['R00565', 'R01989', 'R00371', 'R10124', 'R03210']","['8-Amino-7-oxononanoate', 'CoA', 'CO2', 'Acyl-carrier protein', '4-Guanidinobutanoate', 'L-2-Amino-3-oxobutanoic acid', 'L-Ornithine', 'Guanidinoacetate']"
contig_1,Region 2,BGC0001650.4,0.23,[],[],[]
contig_1,Region 2,BGC0000452.5,0.21,['01054'],[],[]
contig_1,Region 2,BGC0000651.5,0.2,['00900'],"['R05636', 'R01658', 'R09248', 'R02003', 'R02061']","['Geranylgeranyl diphosphate', 'Diphosphate', 'all-trans-Octaprenyl diphosphate', 'Geranyl diphosphate', 'CO2', 'trans,trans-Farnesyl diphosphate', '1-Deoxy-D-xylulose 5-phosphate']"
contig_1,Region 2,BGC0001283.3,0.19,"['05418', '04621', '00450', '00333', '00440']","['R09372', 'R02016', 'R11664', 'R04053', 'R03596']","['NADPH', 'NADP+', 'Methaneselenol', 'Selenite', 'CoA', 'CO2', 'Phosphonoacetaldehyde', 'Thioredoxin disulfide', '4-Keto-2-undecylpyrroline', 'H2O', 'H+']"
contig_1,Region 3,BGC0002689.2,1.19,['01053'],"['R07644', 'R03037', 'R11463', 'R01717', 'R01505']","['NADH', 'Diphosphate', 'Enterochelin', 'Pyruvate', '(5S,6S)-6-Amino-5-hydroxycyclohexa-1,3-diene-1-carboxylate', '2,3-Dihydroxybenzoate', '(2S,3S)-2,3-Dihydro-2,3-dihydroxybenzoate', 'AMP', 'Isochorismate', 'H+']"
contig_1,Region 3,BGC0001132.4,0.75,[],[],[]
contig_1,Region 3,BGC0002286.3,0.72,[],[],[]
contig_1,Region 3,BGC0001833.4,0.72,[],[],[]
contig_1,Region 3,BGC0001128.4,0.72,[],[],[]
contig_1,Region 3,BGC0001825.4,0.72,[],[],[]
contig_1,Region 3,BGC0001758.4,0.71,[],[],[]
contig_1,Region 3,BGC0000343.5,0.71,['01053'],"['R07644', 'R03037', 'R01717']","['Diphosphate', 'Enterochelin', 'Pyruvate', '(2S,3S)-2,3-Dihydro-2,3-dihydroxybenzoate', 'AMP', 'Isochorismate']"
contig_1,Region 3,BGC0001135.5,0.7,[],[],[]
contig_1,Region 3,BGC0001641.4,0.68,[],[],[]
contig_1,Region 4,BGC0002397.2,0.47,[],[],[]
contig_1,Region 4,BGC0002400.2,0.44,[],[],[]
contig_1,Region 4,BGC0002398.2,0.38,[],[],[]
contig_1,Region 4,BGC0000640.3,0.37,['00906'],"['R03824', 'R09692', 'R04800', 'R04801', 'R05341', 'R04787', 'R07856', 'R10177', 'R04218', 'R02065', 'R09691', 'R04798', 'R06962', 'R07270']","['all-trans-Phytoene', 'beta-Zeacarotene', 'all-trans-Neurosporene', 'Diphosphate', 'Lycopene', 'alpha-Carotene', 'all-trans-zeta-Carotene', 'Prephytoene diphosphate', '15-cis-Phytoene', 'Acceptor', 'gamma-Carotene', 'Reduced acceptor', 'all-trans-Phytofluene', '7,8-Dihydro-beta-carotene', 'H2O', 'beta-Carotene']"
contig_1,Region 4,BGC0000630.3,0.36,['00906'],"['R03824', 'R09692', 'R04800', 'R04801', 'R05341', 'R04787', 'R07856', 'R10177', 'R07512', 'R04218', 'R02065', 'R09691', 'R04798', 'R06962', 'R07270']","['all-trans-Phytoene', 'beta-Zeacarotene', 'all-trans-Neurosporene', 'Diphosphate', 'Lycopene', 'alpha-Carotene', 'all-trans-zeta-Carotene', 'Prephytoene diphosphate', '15-cis-Phytoene', 'Acceptor', 'gamma-Carotene', 'Reduced acceptor', 'all-trans-Phytofluene', '7,8-Dihydro-beta-carotene', 'H2O', 'beta-Carotene']"
contig_1,Region 4,BGC0000643.3,0.36,['00906'],"['R04787', 'R05341', 'R07565', 'R10177', 'R07512', 'R02065', 'R07557', 'R04798', 'R07270', 'R07856', 'R09691', 'R07564', 'R05345', 'R07563', 'R04800', 'R04801', 'R07567', 'R07573', 'R07566', 'R06962', 'R03824', 'R07549', 'R04218', 'R07571', 'R09692']","['Diphosphate', 'Lycopene', 'alpha-Carotene', '4-Ketomyxol', '15-cis-Phytoene', ""3'-Hydroxyechinenone"", 'H2O', 'all-trans-Phytoene', 'Echinenone', 'Canthaxanthin', 'Acceptor', 'gamma-Carotene', 'all-trans-Neurosporene', '7,8-Dihydro-beta-carotene', 'beta-Carotene', '3-Hydroxyechinenone', 'Phoenicoxanthin', 'all-trans-zeta-Carotene', 'Prephytoene diphosphate', 'Adonixanthin', 'Reduced acceptor', 'Astaxanthin', 'beta-Zeacarotene', ""(3S,2'S)-4-Ketomyxol 2'-alpha-L-fucoside"", 'all-trans-Phytofluene']"
contig_1,Region 4,BGC0000634.3,0.35,['00906'],"['R05341', 'R07565', 'R04787', 'R10177', 'R07512', 'R02065', 'R07557', 'R04798', 'R07270', 'R07856', 'R07564', 'R09691', 'R05345', 'R07563', 'R04800', 'R07567', 'R04801', 'R07573', 'R07566', 'R06962', 'R03824', 'R07549', 'R04218', 'R07571', 'R09692']","['Diphosphate', 'Lycopene', '4-Ketomyxol', 'alpha-Carotene', ""3'-Hydroxyechinenone"", '15-cis-Phytoene', 'H2O', 'all-trans-Phytoene', 'Echinenone', 'Canthaxanthin', 'Acceptor', 'gamma-Carotene', 'all-trans-Neurosporene', '7,8-Dihydro-beta-carotene', 'beta-Carotene', '3-Hydroxyechinenone', 'Phoenicoxanthin', 'all-trans-zeta-Carotene', 'Prephytoene diphosphate', 'Adonixanthin', 'Reduced acceptor', 'Astaxanthin', 'beta-Zeacarotene', ""(3S,2'S)-4-Ketomyxol 2'-alpha-L-fucoside"", 'all-trans-Phytofluene']"
contig_1,Region 4,BGC0002219.2,0.35,[],[],[]
contig_1,Region 4,BGC0000639.3,0.35,['00906'],"['R03824', 'R07574', 'R09692', 'R04800', 'R04801', 'R05341', 'R04787', 'R07856', 'R10177', 'R04218', 'R02065', 'R09691', 'R04798', 'R06962', 'R07270']","['all-trans-Phytoene', 'beta-Zeacarotene', 'UDP', 'all-trans-Neurosporene', 'Diphosphate', 'Lycopene', 'alpha-Carotene', 'all-trans-zeta-Carotene', 'Prephytoene diphosphate', '15-cis-Phytoene', 'Acceptor', 'gamma-Carotene', 'Zeaxanthin diglucoside', 'Reduced acceptor', 'all-trans-Phytofluene', '7,8-Dihydro-beta-carotene', 'H2O', 'beta-Carotene']"
contig_1,Region 4,BGC0000641.3,0.35,['00906'],"['R03824', 'R07574', 'R09692', 'R04800', 'R04801', 'R05341', 'R04787', 'R07856', 'R10177', 'R04218', 'R02065', 'R09691', 'R04798', 'R06962', 'R07270']","['all-trans-Phytoene', 'beta-Zeacarotene', 'UDP', 'all-trans-Neurosporene', 'Diphosphate', 'Lycopene', 'alpha-Carotene', 'all-trans-zeta-Carotene', 'Prephytoene diphosphate', '15-cis-Phytoene', 'Acceptor', 'gamma-Carotene', 'Zeaxanthin diglucoside', 'Reduced acceptor', 'all-trans-Phytofluene', '7,8-Dihydro-beta-carotene', 'H2O', 'beta-Carotene']"
contig_1,Region 5,BGC0002341.2,0.75,[],[],[]
contig_1,Region 5,BGC0002608.2,0.75,[],[],[]
contig_1,Region 5,BGC0000836.5,0.64,['00780'],"['R04960', 'R10120', 'R04533', 'R04968', 'R07759', 'R04964', 'R04566', 'R04726', 'R04543', 'R04963', 'R10119', 'R07762', 'R04536', 'R10116', 'R04953', 'R04952', 'R07763', 'R04534', 'R04957', 'R04355', 'R10115', 'R11671']","['3-Ketopimeloyl-[acp] methyl ester', '3-Oxohexadecanoyl-[acp]', 'Acyl-carrier protein', 'Dodecanoyl-[acyl-carrier protein]', '3-Oxotetradecanoyl-[acp]', '3-Ketoglutaryl-[acp] methyl ester', '3-Hydroxyoctadecanoyl-CoA', 'H+', '3-Oxooctanoyl-[acp]', 'NADP+', 'Acetoacetyl-[acp]', '3-Oxohexanoyl-[acp]', '3-Oxododecanoyl-[acp]', '(3R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein]', 'NADPH', '3-Oxostearoyl-[acp]', '3-Hydroxyglutaryl-[acp] methyl ester', 'CO2', '3-Oxodecanoyl-[acp]', '3-Hydroxypimeloyl-[acp] methyl ester']"
contig_1,Region 5,BGC0002008.3,0.63,['00780'],"['R04960', 'R10120', 'R04533', 'R04968', 'R07759', 'R04964', 'R04566', 'R04726', 'R04543', 'R04963', 'R10119', 'R07762', 'R04536', 'R10116', 'R04953', 'R04952', 'R07763', 'R04534', 'R04957', 'R04355', 'R10115', 'R11671']","['3-Ketopimeloyl-[acp] methyl ester', '3-Oxohexadecanoyl-[acp]', 'Acyl-carrier protein', 'Dodecanoyl-[acyl-carrier protein]', '3-Oxotetradecanoyl-[acp]', '3-Ketoglutaryl-[acp] methyl ester', '3-Hydroxyoctadecanoyl-CoA', 'H+', '3-Oxooctanoyl-[acp]', 'NADP+', 'Acetoacetyl-[acp]', '3-Oxohexanoyl-[acp]', '3-Oxododecanoyl-[acp]', '(3R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein]', 'NADPH', '3-Oxostearoyl-[acp]', '3-Hydroxyglutaryl-[acp] methyl ester', 'CO2', '3-Oxodecanoyl-[acp]', '3-Hydroxypimeloyl-[acp] methyl ester']"
contig_1,Region 5,BGC0002276.2,0.6,[],[],[]
contig_1,Region 5,BGC0002154.2,0.59,[],[],[]
contig_1,Region 5,BGC0001895.4,0.5,['01056'],"['R09265', 'R06635', 'R06644', 'R11516', 'R09259', 'R06645', 'R06643', 'R09262', 'R09264', 'R06641', 'R09258', 'R10960', 'R09263', 'R06637', 'R06642']","['18-Carbamoyl-3,5,7,9,11,13,15,17-octaoxooctadecanoyl-[acp]', '3,5,7,9,11,13,15,17,19-Nonaoxo-eicosanoyl-[acp]', 'NADP+', 'Tetracenomycin F2', '3,5,7,9,11,13,15-Heptaoxo-octadecanoyl-[acp]', '7,9,12-Octaketide intermediate 1', 'CoA', 'CO2', '7,9,12-Octaketide intermediate 2', '7,9,12-Decaketide intermediate 5', '3,5,7,9,11,13,15-Heptaoxo-hexadecanoyl-[acp]', '7,9,12-Decaketide intermediate 2', '7,9,12-Octaketide intermediate 3', '3,5,7,9,11,13,15,17,19-Nonaoxo-henicosanoyl-[acp]', '3,5,7,9,11,13,15,17,19-Nonaoxo-docosanoyl-[acp]', 'C-9 Reduced nonaketamide', 'H2O']"
contig_1,Region 5,BGC0001723.5,0.49,['01056'],"['R09265', 'R06635', 'R06644', 'R11516', 'R09259', 'R06645', 'R06643', 'R09258', 'R06641', 'R09262', 'R09264', 'R10960', 'R09263', 'R06637', 'R06642']","['18-Carbamoyl-3,5,7,9,11,13,15,17-octaoxooctadecanoyl-[acp]', '3,5,7,9,11,13,15,17,19-Nonaoxo-eicosanoyl-[acp]', 'NADP+', 'Tetracenomycin F2', '3,5,7,9,11,13,15-Heptaoxo-octadecanoyl-[acp]', '7,9,12-Octaketide intermediate 1', 'CoA', 'CO2', '7,9,12-Octaketide intermediate 2', '7,9,12-Decaketide intermediate 5', '3,5,7,9,11,13,15-Heptaoxo-hexadecanoyl-[acp]', '7,9,12-Decaketide intermediate 2', '7,9,12-Octaketide intermediate 3', '3,5,7,9,11,13,15,17,19-Nonaoxo-henicosanoyl-[acp]', '3,5,7,9,11,13,15,17,19-Nonaoxo-docosanoyl-[acp]', 'C-9 Reduced nonaketamide', 'H2O']"
contig_1,Region 5,BGC0002047.2,0.49,['01056'],"['R09265', 'R06635', 'R06644', 'R11516', 'R09259', 'R06645', 'R06643', 'R09258', 'R06641', 'R09262', 'R09264', 'R10960', 'R09263', 'R06637', 'R06642']","['18-Carbamoyl-3,5,7,9,11,13,15,17-octaoxooctadecanoyl-[acp]', '3,5,7,9,11,13,15,17,19-Nonaoxo-eicosanoyl-[acp]', 'NADP+', 'Tetracenomycin F2', '3,5,7,9,11,13,15-Heptaoxo-octadecanoyl-[acp]', '7,9,12-Octaketide intermediate 1', 'CoA', 'CO2', '7,9,12-Octaketide intermediate 2', '7,9,12-Decaketide intermediate 5', '3,5,7,9,11,13,15-Heptaoxo-hexadecanoyl-[acp]', '7,9,12-Decaketide intermediate 2', '7,9,12-Octaketide intermediate 3', '3,5,7,9,11,13,15,17,19-Nonaoxo-henicosanoyl-[acp]', '3,5,7,9,11,13,15,17,19-Nonaoxo-docosanoyl-[acp]', 'C-9 Reduced nonaketamide', 'H2O']"
contig_1,Region 5,BGC0000837.4,0.49,['00780'],"['R04960', 'R10120', 'R04533', 'R04968', 'R07759', 'R04964', 'R04566', 'R04726', 'R04543', 'R04963', 'R10119', 'R07762', 'R04536', 'R10116', 'R04953', 'R04952', 'R07763', 'R04534', 'R04957', 'R04355', 'R10115', 'R11671']","['3-Ketopimeloyl-[acp] methyl ester', '3-Oxohexadecanoyl-[acp]', 'Acyl-carrier protein', 'Dodecanoyl-[acyl-carrier protein]', '3-Oxotetradecanoyl-[acp]', '3-Ketoglutaryl-[acp] methyl ester', '3-Hydroxyoctadecanoyl-CoA', 'H+', '3-Oxooctanoyl-[acp]', 'NADP+', 'Acetoacetyl-[acp]', '3-Oxohexanoyl-[acp]', '3-Oxododecanoyl-[acp]', '(3R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein]', 'NADPH', '3-Oxostearoyl-[acp]', '3-Hydroxyglutaryl-[acp] methyl ester', 'CO2', '3-Oxodecanoyl-[acp]', '3-Hydroxypimeloyl-[acp] methyl ester']"
